,id,title,artist,danceability,energy,key,loudness,modal,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sentiments,no_of_tags
35,6NeFh4tbO4w5NTJkdTYzXp,Better Things,The Kinks,0.51,0.699,2,-11.688,1,0.0836,0.0,0.479,0.693,138.59,178480,4,positive,6
36,74SVya4wnY0EQfqorHR7CY,All Over Now,Eric Hutchinson,0.784,0.761,2,-6.464,1,0.0272,0.000231,0.111,0.968,137.015,224520,4,positive,4
37,6XjBFtW4QcuGG26RysHzuS,Ancient Walls Of Flowers,Marcy Playground,0.577,0.537,2,-9.583,1,0.326,7.88e-05,0.191,0.485,152.528,196707,3,positive,3
38,7qBrDpHQbpNbPliEuLCA44,The Man in You,Faithless,0.756,0.664,10,-10.334,0,0.0695,2.71e-06,0.0868,0.522,98.026,306453,4,positive,3
39,1dAoX0xlJNHplf2XnajfyV,Make Out Club,Gym Class Heroes,0.642,0.723,4,-6.849,1,0.085,0.0,0.109,0.578,88.418,283373,4,positive,4
40,6FEzFxEbAj0y0FJjJUVWna,First Straw,311,0.699,0.621,7,-6.619,1,0.00672,0.0,0.0429,0.789,156.036,179747,4,positive,1
41,5z3pw9c9hTg3NCGOYXdwiq,Reeks and Seeks,Oh No Oh My,0.418,0.79,9,-7.099,1,0.471,0.0311,0.375,0.785,98.851,111627,4,positive,1
42,6Pm8BgaoXijQFlrvasFjeF,Your Love Is Strong,Jon Foreman,0.649,0.507,11,-8.484,1,0.623,0.000399,0.125,0.225,111.988,309840,4,positive,10
43,3a1VV9ncPVpU3q5MI8bHcv,Happiness,Orson,0.461,0.812,4,-4.58,1,0.00364,0.0,0.206,0.527,92.133,236080,4,positive,5
44,4ufbL0XkBVwXFh8BaCQqm9,The Outsiders,Athlete,0.665,0.459,5,-10.25,1,0.517,0.0281,0.171,0.189,90.035,322054,4,positive,7
45,0f2uHiRUJoiUIPVzcpPosh,Picture This,Kero Kero Bonito,0.744,0.821,11,-4.549,0,0.00139,6.11e-05,0.112,0.674,106.975,204497,4,positive,3
46,0x8cVQobLCIMUbuZN9tBYG,Sold! To the Nice Rich Man,The Welcome Wagon,0.599,0.691,11,-8.908,1,0.685,0.0688,0.166,0.61,118.115,250573,4,positive,5
47,1ubMuTK0tZPAA1DqQia1WY,Bet U Wish U Had Me Back,Halestorm,0.44,0.865,9,-3.656,1,0.0112,1.9e-06,0.222,0.623,151.907,223213,4,positive,2
48,4Cl7PGkgUy6GxyMeJAer5Q,What's Important,Beat Happening,0.33,0.949,4,-5.234,1,0.207,0.0546,0.345,0.725,68.661,122573,4,positive,1
49,0J6AUJX684aHQYRa6n1iKM,Meltdown,Ash,0.459,0.869,2,-4.72,0,0.000254,0.0887,0.0568,0.527,152.269,204200,4,positive,1
50,5M3esoqx7VdhFHvWlwzBK9,Darkest Blue,Lostprophets,0.443,0.928,1,-2.747,1,0.000118,0.0,0.299,0.384,105.029,230583,4,positive,1
51,09By4L1F4e7kcAtLIvsRuJ,Get Around Town,Revolver,0.851,0.847,4,-3.718,0,0.367,7.08e-05,0.156,0.964,96.093,139107,4,positive,1
52,3Nv6uTssBMyZTXyjmd24zj,Rhythmic Haze,Deeds Plus Thoughts,0.456,0.82,9,-14.114,1,0.0642,0.618,0.0814,0.79,133.864,307507,4,positive,1
53,57AiuqA84Qte4Lb4uIMwas,Seems Fine,The Concretes,0.276,0.713,7,-4.742,1,0.164,3.14e-05,0.279,0.604,149.952,132231,4,positive,4
54,575TC82P638HnynAEbAXuU,Barking at the Moon (Soundtrack),Jenny Lewis,0.565,0.542,2,-9.569,1,0.371,0.0,0.139,0.528,111.064,197293,4,positive,3
55,6utcyk4VhNej0T881lyU2Y,Where You Are,Marc Broussard,0.533,0.855,4,-4.266,1,0.0331,0.0,0.153,0.447,94.023,232827,4,positive,4
56,7e7HOmWvWP12DfPT8oj7ok,Beautiful With You,Halestorm,0.448,0.929,9,-2.094,1,0.00588,4.9e-05,0.222,0.376,76.975,196280,4,positive,2
57,4myKSxrdtlxkaEAbUgt1VW,Up and Up,Relient K,0.23,0.544,5,-6.256,0,0.348,0.0,0.131,0.332,82.683,248360,4,positive,3
58,60fhprPqgW1Mn390PVHoay,Tradition,Vavamuffin,0.809,0.659,0,-6.973,1,0.0904,0.0,0.0965,0.701,95.113,137066,4,positive,1
59,6gsM9bXtOfRNfUKBtyUgnH,Get Lost,Gossip,0.727,0.741,4,-7.537,0,0.00563,0.0856,0.154,0.624,116.452,246987,4,positive,1
60,6pPQsT9vB435TlJS0xwByH,The New Girl In Town,Brittany Snow,0.767,0.73,1,-6.445,1,0.264,0.0,0.262,0.959,129.971,135693,4,positive,2
61,6dhfqStWHETvJWNhhLO1Qc,A Song for Assata,Common,0.589,0.562,5,-8.248,0,0.399,0.0,0.381,0.503,89.607,408532,4,positive,3
